Inverse_Epsilon,N_2_Chebyshev_Nodes,N_4_Chebyshev_Nodes,N_6_Chebyshev_Nodes,N_8_Chebyshev_Nodes,hlist,Observable Strings,List_of_Parameters,Parameter_Values
3.16227766,932.1332994,2888.319696,5046.715906,7356.228493,-0.60734877,{0: 'Z'},Simulation Time,1
10,3143.109771,9739.278561,17017.28935,24804.85749,-0.508119347,{3: 'Z'},Trotter Order,2
31.6227766,10377.59733,32156.15062,56185.93988,81898.13328,-0.384516189,{1: 'X'},Number Qubits,4
100,33891.31024,105016.0304,183492.8701,267464.1301,0.702772765,,Initial State String,0j0j(1+0j)0j0j0j0j0j0j0j0j0j0j0j0j0j
316.227766,109949.2519,340690.103,595282.4973,867699.7378,,,,
1000,355109.6762,1100347.207,1922619.493,2802461.751,,,,
3162.27766,1143277.462,3542573.592,6189883.522,9022540.279,,,,
10000,3672040.542,11378229.95,19881003.52,28979084.09,,,,
31622.7766,11772333.48,36477897.18,63737260.16,92905140.3,,,,
100000,37685981.59,116774245.7,204037816.1,297410994.4,,,,
316227.766,120497406.4,373374744.2,652391860.4,950943877.6,,,,
1000000,384897254.9,1192647364,2083894116,3037539969,,,,
3162277.66,1228426608,3806417782,6650894356,9694522037,,,,
10000000,3917817635,12139797869,21211679259,30918712737,,,,
31622776.6,12487409246,38693639744,67608792542,98548389760,,,,
100000000,39780298913,1.23264E+11,2.15377E+11,3.13939E+11,,,,
316227766,1.26666E+11,3.92488E+11,6.85789E+11,9.99624E+11,,,,
1000000000,4.03154E+11,1.24922E+12,2.18274E+12,3.18162E+12,,,,
3162277660,1.28269E+12,3.97455E+12,6.94466E+12,1.01227E+13,,,,
