Degree,Time_0.1,Time_1,Time_10,Time_100,hlist,Observable Strings,List_of_Parameters,Parameter_Values
2,7.57775E-05,0.001264641,0.014090486,0.074217851,-0.60734877,{0: 'Z'},Simulation Time,100
4,6.09635E-08,9.24527E-07,5.34124E-05,0.001592047,-0.508119347,{3: 'Z'},Trotter Order,2
6,4.55689E-11,1.83208E-09,7.43149E-08,0.000177665,-0.384516189,{1: 'X'},Number Qubits,4
8,3.24185E-14,5.57793E-12,1.06139E-09,1.32336E-06,0.702772765,,Initial State String,0j0j(1+0j)0j0j0j0j0j0j0j0j0j0j0j0j0j
10,5.55112E-15,1.39333E-14,3.43858E-12,1.97673E-07,,,,
12,8.88178E-16,6.66134E-16,7.77156E-15,3.47636E-10,,,,
14,5.32907E-15,5.55112E-16,7.77156E-15,1.20735E-10,,,,
16,1.33227E-15,7.21645E-16,3.55271E-15,3.24851E-13,,,,
18,6.66134E-16,0,2.88658E-15,8.50431E-14,,,,
20,6.66134E-16,4.44089E-16,2.44249E-15,5.61773E-14,,,,
22,2.22045E-16,1.9984E-15,5.9952E-15,1.28786E-14,,,,
24,1.77636E-15,6.10623E-16,0,4.68514E-14,,,,
26,8.88178E-16,2.77556E-16,9.10383E-15,1.64313E-14,,,,
28,1.77636E-15,2.05391E-15,6.66134E-16,2.77556E-14,,,,
